10000, 14
20000, 15
30000, 14
40000, 20
50000, 15
60000, 18
70000, 17
80000, 17
90000, 16
100000, 19
110000, 15
120000, 16
130000, 17
140000, 16
150000, 20
160000, 19
170000, 17
180000, 19
190000, 22
200000, 19
210000, 17
220000, 17
230000, 17
240000, 17
250000, 16
260000, 20
270000, 22
280000, 23
290000, 17
300000, 18
310000, 20
320000, 19
330000, 19
340000, 24
350000, 20
360000, 20
370000, 21
380000, 22
390000, 21
400000, 21
410000, 18
420000, 19
430000, 19
440000, 20
450000, 21
460000, 21
470000, 18
480000, 21
490000, 25
500000, 20
510000, 20
520000, 21
530000, 19
540000, 19
550000, 19
560000, 19
570000, 22
580000, 19
590000, 20
600000, 23
610000, 21
620000, 22
630000, 21
640000, 19
650000, 26
660000, 21
670000, 21
680000, 21
690000, 21
700000, 21
710000, 20
720000, 23
730000, 20
740000, 19
750000, 20
760000, 21
770000, 21
780000, 23
790000, 21
800000, 20
810000, 21
820000, 25
830000, 22
840000, 20
850000, 20
860000, 22
870000, 20
880000, 21
890000, 22
900000, 21
910000, 21
920000, 20
930000, 22
940000, 24
950000, 19
960000, 21
970000, 21
980000, 22
990000, 24
1000000, 23
