attempt, points, estimate
34, 300, 12.96
35, 300, 11.04
36, 300, 12.24
37, 300, 12.24
38, 300, 11.92
39, 300, 10.88
40, 300, 10.16
41, 300, 11.36
42, 300, 11.2
43, 300, 11.6
44, 300, 12.48
45, 300, 11.92
46, 300, 11.28
47, 300, 11.28
48, 300, 12.72
49, 300, 12.72
50, 300, 11.04
1, 350, 12.274285714285714
2, 350, 12.617142857142857
3, 350, 11.862857142857143
4, 350, 12.137142857142857
5, 350, 10.491428571428571
6, 350, 12.411428571428571
7, 350, 12.411428571428571
8, 350, 12.685714285714285
9, 350, 11.862857142857143
10, 350, 12.685714285714285
11, 350, 11.725714285714286
12, 350, 10.834285714285715
13, 350, 12.205714285714286
14, 350, 11.108571428571429
15, 350, 10.902857142857142
16, 350, 11.794285714285714
17, 350, 11.862857142857143
18, 350, 11.862857142857143
19, 350, 12.342857142857143
20, 350, 12.137142857142857
21, 350, 11.862857142857143
22, 350, 12.274285714285714
23, 350, 10.765714285714285
24, 350, 12.137142857142857
25, 350, 12.411428571428571
26, 350, 11.177142857142858
27, 350, 13.508571428571429
28, 350, 11.862857142857143
29, 350, 11.52
30, 350, 11.52
31, 350, 11.108571428571429
32, 350, 12.754285714285714
33, 350, 11.657142857142857
34, 350, 12.48
35, 350, 11.52
36, 350, 10.628571428571428
37, 350, 12.96
38, 350, 11.862857142857143
39, 350, 11.04
40, 350, 11.794285714285714
41, 350, 13.028571428571428
42, 350, 12.06857142857143
43, 350, 11.862857142857143
44, 350, 12.274285714285714
45, 350, 13.371428571428572
46, 350, 11.382857142857143
47, 350, 12.48
48, 350, 11.177142857142858
49, 350, 12.48
50, 350, 12.137142857142857
1, 400, 12.06
2, 400, 12.06
3, 400, 11.88
4, 400, 11.7
5, 400, 12.18
6, 400, 11.88
7, 400, 11.4
8, 400, 12.12
9, 400, 10.86
10, 400, 11.82
11, 400, 11.64
12, 400, 11.22
13, 400, 11.64
14, 400, 11.28
15, 400, 12.48
16, 400, 12.9
17, 400, 12
18, 400, 12.3
19, 400, 12.48
20, 400, 11.88
21, 400, 12.48
22, 400, 11.88
23, 400, 12.42
24, 400, 12.36
25, 400, 12.96
26, 400, 11.88
27, 400, 12.06
28, 400, 12
29, 400, 12.12
30, 400, 12.54
31, 400, 12.84
32, 400, 11.7
33, 400, 12.6
34, 400, 12.96
35, 400, 11.28
36, 400, 12.6
37, 400, 11.46
38, 400, 12.42
39, 400, 10.98
40, 400, 11.58
41, 400, 12.12
42, 400, 11.76
43, 400, 12.42
44, 400, 12.24
45, 400, 11.64
46, 400, 11.94
47, 400, 11.58
48, 400, 12
49, 400, 11.04
50, 400, 12.42
1, 450, 12.426666666666666
2, 450, 12.64
3, 450, 13.226666666666667
4, 450, 11.946666666666667
5, 450, 12.053333333333333
6, 450, 12.266666666666667
7, 450, 11.36
