attempt, points, estimate
4, 4250, 1.972180988182957
5, 4250, 1.992878539783078
1, 4300, 2.0106192982974673
2, 4300, 2.050071857203014
3, 4300, 2.067606327827701
4, 4300, 2.028153768922155
5, 4300, 1.9711667393919214
1, 4350, 2.040951917021783
2, 4350, 1.9311767254480705
3, 4350, 2.006286067051137
4, 4350, 2.0452851482681136
5, 4350, 1.9759534483268215
1, 4400, 1.934935475279168
2, 4400, 2.054887194779869
3, 4400, 2.032039248208307
4, 4400, 2.016331284940358
5, 4400, 2.0191872782618034
1, 4450, 2.0205029605784244
2, 4450, 2.081216886018587
3, 4450, 1.9795563597001753
4, 4450, 2.021914912332847
5, 4450, 2.108043969352612
1, 4500, 1.9882790838719404
2, 4500, 2.0678660977628818
3, 4500, 1.9868828204703446
4, 4500, 2.009223034895872
5, 4500, 1.9757127132575811
1, 4550, 2.007857458602004
2, 4550, 1.913954908956243
3, 4550, 1.9719535425609778
4, 4550, 1.9857627410382959
5, 4550, 2.007857458602004
1, 4600, 1.9764715520627958
2, 4600, 2.018814757393789
3, 4600, 2.0406693149839787
4, 4600, 2.0379374952852047
5, 4600, 2.0529625036284607
1, 4650, 2.0187266341776993
2, 4650, 2.026833970057931
3, 4650, 1.9862972906567724
4, 4650, 1.9552191697825507
5, 4650, 1.9768387321298355
1, 4700, 1.9718507081042318
2, 4700, 1.9304084220356004
3, 4700, 2.050724736428401
4, 4700, 1.9878928833566054
5, 4700, 2.046714192615308
1, 4750, 2.0436886946510446
2, 4750, 1.9537399365693153
3, 4750, 2.0066509707350386
4, 4750, 2.0529481256300457
5, 4750, 1.9497716090068866
1, 4800, 1.9360064727747102
2, 4800, 1.9085175370557992
3, 4800, 2.0655971697352893
4, 4800, 2.0315632493213993
5, 4800, 1.9242255003237483
1, 4850, 2.0365293408013008
2, 4850, 1.9613902175401843
3, 4850, 2.0663258896807095
4, 4850, 2.0119148004226592
5, 4850, 2.0183923110486175
1, 4900, 2.005490167434464
2, 4900, 2.005490167434464
3, 4900, 1.9606102723831813
4, 4900, 2.019595277307724
5, 4900, 1.9747153822564416
1, 4950, 2.0042726464720335
2, 4950, 2.0309285841388562
3, 4950, 1.9649234051543434
4, 4950, 2.0042726464720335
5, 4950, 2.03727523596429
1, 5000, 2.005592750051724
2, 5000, 2.052088321324853
3, 5000, 1.9892564682530571
4, 5000, 2.020672394788955
5, 5000, 1.9792033717615698
